,MonthlyIncome,Passport,DurationOfPitch,Designation_Executive,ProductPitched_Deluxe,Designation_Manager,Age,NumberOfTrips,PreferredPropertyStar,Gender_Male,ProdTaken
1,20130.0,0,14.0,0,1,1,49.0,2.0,4.0,1,0
3,17909.0,1,9.0,1,0,0,33.0,2.0,3.0,0,0
4,18468.0,0,8.0,1,0,0,45.0,1.0,4.0,1,0
7,17693.0,0,30.0,1,0,0,30.0,2.0,3.0,1,0
9,20237.0,0,33.0,0,1,1,36.0,7.0,3.0,1,0
10,17426.0,0,22.0,1,0,0,35.0,1.0,4.0,1,0
12,17911.0,0,32.0,1,0,0,31.0,2.0,3.0,1,0
13,17661.0,0,25.0,1,0,0,34.0,1.0,3.0,1,0
16,18298.0,1,11.0,1,0,0,32.0,1.0,4.0,1,0
17,17935.0,1,22.0,1,0,0,22.0,2.0,3.0,1,0
20,20231.0,0,17.0,0,1,1,26.0,1.0,3.0,0,0
27,21825.0,0,14.0,0,1,1,42.0,1.0,4.0,1,0
31,21465.0,1,16.0,0,1,1,44.0,3.0,3.0,1,0
34,17293.0,1,6.0,1,0,0,24.0,3.0,3.0,1,1
35,17645.0,0,8.0,1,0,0,43.0,2.0,3.0,0,0
36,17683.0,1,9.0,1,0,0,50.0,2.0,3.0,1,1
37,17014.0,0,8.0,1,0,0,35.0,2.0,3.0,0,0
39,20376.0,0,6.0,0,1,1,33.0,3.0,5.0,0,0
40,16951.0,0,10.0,1,0,0,35.0,2.0,3.0,1,0
41,17341.0,0,8.0,1,0,0,27.0,2.0,5.0,0,0
47,18022.0,0,25.0,1,0,0,37.0,5.0,4.0,1,0
49,17269.0,0,14.0,1,0,0,35.0,2.0,3.0,1,0
52,20454.0,1,6.0,0,1,1,44.0,6.0,5.0,0,0
57,23005.0,1,29.0,1,0,0,35.0,4.0,5.0,0,0
58,20915.0,0,13.0,0,1,1,31.0,4.0,3.0,1,0
59,20993.0,0,6.0,0,1,1,37.0,2.0,3.0,1,0
60,21162.0,1,6.0,0,1,1,32.0,2.0,3.0,1,0
68,17194.0,0,6.0,1,0,0,35.0,5.0,5.0,1,0
69,18388.0,1,15.0,1,0,0,30.0,1.0,3.0,1,1
71,17703.0,0,8.0,1,0,0,29.0,1.0,4.0,1,0
73,21220.0,0,6.0,0,1,1,32.0,2.0,4.0,1,0
74,18038.0,0,12.0,0,1,1,36.0,4.0,3.0,0,0
79,20021.0,1,11.0,0,1,1,46.0,1.0,4.0,1,0
80,20126.0,1,6.0,0,1,1,30.0,2.0,3.0,1,0
83,20329.0,1,12.0,0,1,1,38.0,1.0,3.0,0,0
84,21288.0,0,20.0,0,1,1,34.0,2.0,4.0,1,0
87,17075.0,0,15.0,1,0,0,51.0,4.0,3.0,1,0
92,20209.0,1,10.0,0,1,1,30.0,2.0,4.0,0,0
96,19999.0,0,9.0,0,1,1,24.0,1.0,3.0,0,0
97,21250.0,0,10.0,0,1,1,46.0,2.0,3.0,1,0
99,17042.0,0,29.0,0,1,1,44.0,5.0,4.0,1,0
100,17073.0,1,12.0,1,0,0,37.0,5.0,5.0,1,1
104,20163.0,0,8.0,0,1,1,37.0,6.0,3.0,1,0
108,17889.0,0,13.0,1,0,0,25.0,2.0,3.0,1,0
113,17774.0,0,24.0,1,0,0,24.0,1.0,3.0,1,0
114,19505.0,0,12.0,0,1,1,34.0,7.0,4.0,0,0
118,17835.0,0,9.0,1,0,0,36.0,6.0,3.0,0,0
120,17613.0,0,29.0,1,0,0,30.0,2.0,3.0,1,0
121,21146.0,0,28.0,0,1,1,33.0,1.0,4.0,1,0
124,21172.0,1,12.0,0,1,1,31.0,5.0,3.0,1,1
125,17368.0,0,12.0,1,0,0,26.0,2.0,4.0,0,0
129,21567.0,0,26.0,0,1,1,49.0,2.0,5.0,0,0
132,19559.0,1,17.0,0,1,1,31.0,4.0,3.0,0,1
134,17942.0,0,31.0,1,0,0,26.0,2.0,3.0,0,0
135,19941.0,0,12.0,0,1,1,36.0,7.0,4.0,1,0
137,20902.0,0,10.0,0,1,1,39.0,5.0,3.0,0,0
138,23639.0,0,34.0,0,1,1,25.0,3.0,3.0,1,0
139,21347.0,1,15.0,0,1,1,30.0,1.0,3.0,1,0
144,19668.0,0,34.0,0,1,1,32.0,1.0,3.0,1,0
148,17238.0,0,15.0,1,0,0,41.0,3.0,5.0,1,0
150,20605.0,0,32.0,0,1,1,40.0,2.0,4.0,0,0
152,17306.0,1,12.0,0,1,1,53.0,3.0,3.0,1,0
153,17348.0,0,15.0,0,1,1,45.0,1.0,4.0,1,0
156,21132.0,0,13.0,0,1,1,51.0,3.0,3.0,1,0
159,17231.0,0,8.0,1,0,0,34.0,7.0,3.0,0,0
160,17323.0,0,25.0,1,0,0,22.0,2.0,3.0,1,0
161,17024.0,0,15.0,1,0,0,27.0,7.0,4.0,1,0
162,17713.0,0,27.0,1,0,0,28.0,2.0,3.0,1,0
164,17566.0,1,9.0,1,0,0,27.0,2.0,3.0,1,0
166,17451.0,0,20.0,1,0,0,41.0,5.0,3.0,1,0
173,18072.0,0,15.0,0,1,1,30.0,2.0,5.0,1,0
174,20006.0,1,10.0,0,1,1,45.0,5.0,5.0,0,0
180,24796.0,1,18.0,1,0,0,46.0,1.0,3.0,0,0
183,18690.0,0,6.0,1,0,0,51.0,3.0,3.0,1,0
184,23325.0,0,7.0,0,1,1,53.0,2.0,5.0,0,0
185,17756.0,0,20.0,1,0,0,33.0,2.0,4.0,0,0
188,24547.0,0,8.0,0,1,1,34.0,2.0,3.0,1,0
192,20916.0,1,29.0,0,1,1,35.0,4.0,3.0,1,1
193,17089.0,0,13.0,1,0,0,43.0,5.0,3.0,1,0
195,18564.0,1,27.0,1,0,0,26.0,2.0,5.0,1,0
197,20265.0,0,27.0,0,1,1,42.0,3.0,3.0,0,0
198,21553.0,0,8.0,0,1,1,38.0,1.0,3.0,1,0
201,21804.0,1,24.0,0,1,1,49.0,2.0,3.0,1,0
202,20121.0,1,16.0,1,0,0,41.0,2.0,3.0,1,0
203,17741.0,1,25.0,0,1,1,40.0,1.0,3.0,1,0
204,21673.0,1,35.0,0,1,1,38.0,1.0,5.0,1,1
206,17328.0,1,11.0,1,0,0,22.0,2.0,4.0,1,0
208,19876.0,0,31.0,0,1,1,40.0,1.0,3.0,1,0
219,20940.0,0,9.0,0,1,1,54.0,3.0,5.0,0,0
221,17622.0,0,10.0,1,0,0,33.0,7.0,4.0,0,0
224,25221.0,0,11.0,0,1,1,31.0,1.0,3.0,1,0
